Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2017-06-14,10208.84,10151.53,-73.29,-0.72%,10138.82,10226.15,73650168,9749158.00,-
2017-06-13,10104.71,10224.82,104.83,1.04%,10102.50,10237.40,73105216,9477054.00,-
2017-06-12,10144.12,10119.99,-57.46,-0.56%,10108.98,10197.10,72968168,9857977.00,-
2017-06-09,10147.02,10177.45,28.73,0.28%,10124.94,10182.61,71269880,9491832.00,-
2017-06-08,10104.59,10148.72,38.84,0.38%,10097.66,10162.48,77812848,10180237.00,-
2017-06-07,9915.18,10109.88,193.96,1.96%,9910.53,10117.06,88954872,11541363.00,-
2017-06-06,9834.54,9915.92,73.32,0.74%,9821.13,9915.92,53891544,7082297.00,-
2017-06-05,9799.81,9842.60,47.71,0.49%,9799.65,9866.34,58035176,7451257.00,-
2017-06-02,9708.72,9794.89,64.56,0.66%,9637.54,9811.58,64651288,7898137.50,-
2017-06-01,9833.83,9730.33,-134.52,-1.36%,9730.06,9854.55,70165240,8643389.00,-
2017-05-31,9944.12,9864.85,5.62,0.06%,9855.30,9976.64,74669768,9162369.00,-
2017-05-26,9871.68,9859.24,-34.54,-0.35%,9838.70,9913.48,72247688,9281436.00,-
2017-05-25,9792.09,9893.78,81.32,0.83%,9727.51,9917.81,83013016,10225430.00,-
2017-05-24,9722.04,9812.46,48.68,0.50%,9609.41,9812.46,65975864,8269237.50,-
2017-05-23,9878.38,9763.78,-135.86,-1.37%,9761.31,9914.50,80497440,10014785.00,-
2017-05-22,9958.29,9899.65,-71.31,-0.72%,9864.95,10014.94,72262272,9061310.00,-
2017-05-19,9978.50,9970.96,-3.39,-0.03%,9922.76,10005.71,63965388,8523501.00,-
2017-05-18,9955.86,9974.35,-55.76,-0.56%,9936.31,10045.68,70491248,9213649.00,-
2017-05-17,10030.36,10030.11,-16.55,-0.16%,10019.36,10091.47,91078864,11753596.00,-
2017-05-16,9819.71,10046.66,201.06,2.04%,9761.35,10046.66,90068840,11560079.00,-
2017-05-15,9812.38,9845.60,57.61,0.59%,9812.38,9866.07,61701820,7971641.00,-
2017-05-12,9755.87,9787.99,11.54,0.12%,9703.10,9794.99,63994844,7947210.00,-
2017-05-11,9704.88,9776.45,19.64,0.20%,9566.42,9776.51,82157984,9809800.00,-
2017-05-10,9875.74,9756.81,-128.53,-1.30%,9756.81,9945.61,74787352,9537536.00,-
2017-05-09,9794.81,9885.34,52.17,0.53%,9736.14,9887.15,64477676,8273527.00,-
2017-05-08,10000.95,9833.17,-191.27,-1.91%,9833.17,10018.57,82317776,9786845.00,-
2017-05-05,10119.54,10024.44,-123.00,-1.21%,10024.44,10132.92,77517816,9816519.00,-
2017-05-04,10164.81,10147.44,-36.70,-0.36%,10116.01,10241.54,79752416,10151171.00,-
2017-05-03,10208.60,10184.14,-39.83,-0.39%,10146.26,10244.35,76050368,9571647.00,-
2017-05-02,10205.66,10223.97,-10.68,-0.10%,10166.39,10228.70,77331648,9934861.00,-
2017-04-28,10208.13,10234.65,5.46,0.05%,10176.08,10235.23,80970232,10411581.00,-
2017-04-27,10174.25,10229.19,24.35,0.24%,10015.89,10244.08,96323584,12430288.00,-
2017-04-26,10162.72,10204.84,39.62,0.39%,10161.42,10251.70,84434424,11211022.00,-
2017-04-25,10106.90,10165.22,73.33,0.73%,10104.55,10213.49,74705024,9664582.00,-
2017-04-24,10285.04,10091.89,-222.46,-2.16%,10060.11,10285.04,76093672,9704584.00,-
2017-04-21,10357.86,10314.35,-44.74,-0.43%,10300.40,10407.78,71025872,9150492.00,-
2017-04-20,10346.99,10359.09,10.68,0.10%,10306.39,10411.75,84554472,11354006.00,-
2017-04-19,10377.28,10348.41,-63.03,-0.61%,10235.00,10393.73,92453376,11823512.00,-
2017-04-18,10449.01,10411.44,-39.42,-0.38%,10405.35,10522.85,87247872,11361632.00,-
