Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2017-12-29,3295.25,3307.17,10.79,0.33%,3292.77,3308.22,141586832,17035676.00,-
2017-12-28,3272.29,3296.38,20.60,0.63%,3263.73,3304.10,175371680,20801986.00,-
2017-12-27,3302.46,3275.78,-30.34,-0.92%,3270.35,3307.08,162674896,19826466.00,-
2017-12-26,3277.84,3306.12,25.66,0.78%,3274.33,3307.30,142434496,17467926.00,-
2017-12-25,3296.21,3280.46,-16.60,-0.50%,3270.44,3312.30,146893632,17729360.00,-
2017-12-22,3297.69,3297.06,-3.00,-0.09%,3293.44,3307.33,124047328,15209944.00,-
2017-12-21,3281.12,3300.06,12.45,0.38%,3267.40,3309.22,142127920,17374010.00,-
2017-12-20,3296.74,3287.61,-8.93,-0.27%,3276.12,3300.21,137745120,16796186.00,-
2017-12-19,3266.02,3296.54,28.62,0.88%,3266.02,3296.94,115140136,15078659.00,-
2017-12-18,3268.03,3267.92,1.79,0.05%,3254.18,3280.54,120700384,14973823.00,-
2017-12-15,3287.53,3266.14,-26.30,-0.80%,3259.39,3287.53,130940624,16187792.00,-
2017-12-14,3302.93,3292.44,-10.60,-0.32%,3282.57,3309.53,120544232,15134609.00,-
2017-12-13,3278.40,3303.04,22.22,0.68%,3273.32,3304.01,111998648,14529531.00,-
2017-12-12,3320.31,3280.81,-41.38,-1.25%,3280.33,3320.31,124604824,16097862.00,-
2017-12-11,3290.49,3322.20,32.20,0.98%,3288.29,3322.67,131965984,17298644.00,-
2017-12-08,3264.48,3289.99,17.94,0.55%,3258.76,3297.13,133209312,16576165.00,-
2017-12-07,3283.28,3272.05,-21.91,-0.67%,3259.16,3291.28,132105904,16176459.00,-
2017-12-06,3291.31,3293.96,-9.71,-0.29%,3254.61,3296.20,151604448,17917438.00,-
2017-12-05,3301.69,3303.68,-5.94,-0.18%,3300.51,3315.74,208278848,24348960.00,-
2017-12-04,3310.38,3309.62,-8.00,-0.24%,3304.10,3324.00,148053296,18502536.00,-
2017-12-01,3315.10,3317.62,0.43,0.01%,3302.44,3324.52,139198304,17749026.00,-
2017-11-30,3328.64,3317.19,-20.67,-0.62%,3306.28,3340.92,156595856,19207680.00,-
2017-11-29,3335.57,3337.86,4.20,0.13%,3305.57,3343.06,183805936,21776944.00,-
2017-11-28,3311.23,3333.66,11.43,0.34%,3300.78,3333.80,138247808,16706293.00,-
2017-11-27,3346.66,3322.23,-31.59,-0.94%,3315.26,3347.05,166439168,20580340.00,-
2017-11-24,3340.38,3353.82,1.90,0.06%,3328.33,3360.75,159569664,20762388.00,-
2017-11-23,3425.01,3351.92,-78.55,-2.29%,3342.33,3429.42,215265408,27046902.00,-
2017-11-22,3417.33,3430.46,19.97,0.59%,3404.29,3442.18,213567104,27367474.00,-
2017-11-21,3382.36,3410.50,18.10,0.53%,3377.60,3419.80,196871808,26530386.00,-
2017-11-20,3361.36,3392.40,9.49,0.28%,3337.12,3393.11,176524672,22830814.00,-
2017-11-17,3392.68,3382.91,-16.34,-0.48%,3373.30,3403.29,249458160,31375036.00,-
2017-11-16,3393.19,3399.25,-3.27,-0.10%,3390.59,3409.65,156684336,22086246.00,-
2017-11-15,3416.21,3402.52,-27.02,-0.79%,3396.38,3423.75,168792080,23973420.00,-
2017-11-14,3446.55,3429.55,-18.29,-0.53%,3419.69,3450.49,196472672,26743542.00,-
2017-11-13,3435.18,3447.84,15.16,0.44%,3435.08,3449.16,205389040,26673812.00,-
2017-11-10,3423.18,3432.67,4.88,0.14%,3414.33,3438.79,189276512,25577212.00,-
2017-11-09,3410.67,3427.79,12.33,0.36%,3408.62,3428.77,158650432,20543366.00,-
2017-11-08,3409.15,3415.46,1.89,0.06%,3404.88,3434.49,185436464,24202560.00,-
2017-11-07,3389.47,3413.57,25.40,0.75%,3387.95,3415.15,190571744,24259596.00,-
2017-11-06,3369.69,3388.17,16.43,0.49%,3356.53,3389.38,154636480,20431124.00,-
2017-11-03,3377.74,3371.74,-11.57,-0.34%,3347.36,3380.57,172714784,20743794.00,-
2017-11-02,3391.65,3383.31,-12.60,-0.37%,3372.21,3391.65,166864272,21001498.00,-
2017-11-01,3393.97,3395.91,2.57,0.08%,3388.60,3410.35,180566112,23197838.00,-
2017-10-31,3381.00,3393.34,3.00,0.09%,3376.12,3397.10,153498208,19992958.00,-
2017-10-30,3413.87,3390.34,-26.48,-0.77%,3357.28,3419.73,208349280,25777664.00,-
2017-10-27,3404.50,3416.81,9.25,0.27%,3402.11,3421.10,170257168,21237720.00,-
2017-10-26,3397.52,3407.57,10.67,0.31%,3391.45,3414.24,183768624,23859612.00,-
2017-10-25,3384.86,3396.90,8.65,0.26%,3382.03,3398.30,123131216,16006070.00,-
2017-10-24,3376.60,3388.25,7.55,0.22%,3374.12,3388.69,139897504,17855288.00,-
2017-10-23,3382.28,3380.70,2.05,0.06%,3374.71,3385.29,130846288,16436945.00,-
2017-10-20,3363.51,3378.65,8.48,0.25%,3360.10,3379.77,127172856,15506509.00,-
2017-10-19,3374.64,3370.17,-11.62,-0.34%,3359.63,3378.74,158476496,18792128.00,-
2017-10-18,3373.53,3381.79,9.75,0.29%,3371.92,3383.23,157228784,19429878.00,-
2017-10-17,3373.23,3372.04,-6.43,-0.19%,3365.56,3382.41,125381728,16291083.00,-
2017-10-16,3393.21,3378.47,-12.05,-0.36%,3374.77,3400.51,174330608,22165068.00,-
2017-10-13,3384.49,3390.52,4.42,0.13%,3383.24,3395.75,139954752,18111846.00,-
2017-10-12,3385.53,3386.10,-2.18,-0.06%,3372.53,3390.20,161809376,20166788.00,-
2017-10-11,3381.49,3388.28,5.30,0.16%,3379.16,3395.78,181476704,23115450.00,-
2017-10-10,3373.34,3382.99,8.61,0.26%,3358.80,3384.03,179423840,23114862.00,-
