Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2010-12-08,63.40,62.93,-1.03,-1.61%,62.83,65.00,10464,6681.91,1.22%
2010-12-07,63.18,63.96,0.78,1.23%,61.51,64.23,16081,10113.65,1.87%
2010-12-06,63.10,63.18,-0.02,-0.03%,61.80,63.50,10755,6752.46,1.25%
2010-12-03,64.71,63.20,-1.50,-2.32%,62.40,65.26,13405,8472.52,1.56%
2010-12-02,64.50,64.70,0.79,1.24%,63.90,66.09,17734,11539.17,2.06%
2010-12-01,63.01,63.91,0.25,0.39%,62.58,65.26,13085,8350.87,1.52%
2010-11-30,66.81,63.66,-3.44,-5.13%,62.00,66.88,27027,17251.72,3.14%
2010-11-29,65.12,67.10,2.00,3.07%,63.66,67.49,28184,18557.64,3.27%
2010-11-26,66.85,65.10,-1.67,-2.50%,65.00,67.50,26620,17513.64,3.09%
2010-11-25,68.85,66.77,-1.57,-2.30%,66.06,70.54,30908,20957.92,3.59%
2010-11-24,66.00,68.34,1.47,2.20%,65.30,68.55,21490,14521.27,2.50%
2010-11-23,69.00,66.87,-2.11,-3.06%,64.48,69.48,36997,24423.13,4.30%
2010-11-22,68.10,68.98,0.98,1.44%,68.10,72.49,44238,30813.98,5.14%
2010-11-19,64.30,68.00,3.80,5.92%,63.00,68.34,36960,24598.48,4.29%
2010-11-18,64.35,64.20,0.69,1.09%,61.90,64.98,30619,19375.37,3.56%
2010-11-17,67.90,63.51,-6.39,-9.14%,63.00,69.50,51008,33820.85,5.93%
2010-11-16,75.11,69.90,-5.19,-6.91%,68.62,76.48,65687,47752.51,7.63%
2010-11-15,68.28,75.09,6.81,9.97%,66.89,75.11,69619,50012.45,8.09%
2010-11-12,66.40,68.28,1.38,2.06%,65.05,71.00,76324,52336.85,8.87%
2010-11-11,63.80,66.90,1.95,3.00%,63.52,69.00,55704,37250.91,6.47%
2010-11-10,61.00,64.95,3.99,6.55%,60.58,66.66,59297,38405.80,6.89%
2010-11-09,60.20,60.96,0.86,1.43%,59.33,61.33,32460,19653.82,3.77%
2010-11-08,59.50,60.10,1.68,2.88%,59.50,61.50,30722,18497.44,3.57%
2010-11-05,58.80,58.42,-0.10,-0.17%,57.03,59.31,36153,21054.12,4.20%
2010-11-04,58.00,58.52,2.09,3.70%,56.95,59.33,36772,21286.37,4.27%
2010-11-03,58.40,56.43,-2.32,-3.95%,56.00,58.40,28386,16126.24,3.30%
2010-11-02,61.90,58.75,-3.03,-4.90%,58.53,61.95,38321,22936.66,4.45%
2010-11-01,61.00,61.78,2.38,4.01%,59.50,62.20,46532,28619.52,5.41%
2010-10-29,58.00,59.40,1.40,2.41%,57.93,60.50,35430,21166.23,4.12%
2010-10-28,57.80,58.00,-0.50,-0.85%,57.01,58.90,22514,12978.17,2.85%
2010-10-27,58.94,58.50,-1.06,-1.78%,58.50,61.10,30922,18515.01,3.91%
2010-10-26,58.08,59.56,0.66,1.12%,57.00,59.85,31452,18211.31,3.98%
2010-10-25,59.51,58.90,1.06,1.83%,58.52,62.20,38359,23064.63,4.86%
2010-10-22,55.19,57.84,2.64,4.78%,55.19,59.49,46231,26773.72,5.85%
2010-10-21,57.02,55.20,-1.70,-2.99%,54.82,57.16,28880,16048.72,3.66%
2010-10-20,55.28,56.90,1.10,1.97%,55.00,58.10,59311,33674.70,7.51%
2010-10-19,52.00,55.80,3.30,6.29%,51.56,57.70,63074,35136.43,7.98%
